Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	bowtie_2_hisat2-overall_alignment_rate
10AIRCJF							0.0
11AIRCJF							0.0
12AIRCJF							0.0
13AIRCJF							0.0
3CIECJF							0.0
4CIECJF							0.0
5CIECJF							0.0
6CIECJF							0.0
STARpass1	12.496127999999999	12.331944	98.69	11.491003	91.96	0.8409409999999999	
Sample_10AIRCJF	13.983441	13.821353	98.83999999999999	13.072659999999999	93.49	0.7486929999999999	
Sample_11AIRCJF	13.422602	13.260007	98.78999999999999	12.495994999999999	93.1	0.7640119999999999	
Sample_12AIRCJF	12.269912	12.007982	97.86	11.251559	91.7	0.756423	
Sample_13AIRCJF	12.314278999999999	12.054893999999999	97.9	11.308861	91.84	0.746033	
Sample_3CIECJF	12.496127999999999	12.332006999999999	98.69	11.488874	91.94	0.8431329999999999	
Sample_4CIECJF	13.550918	13.141022999999999	96.98	12.387958999999999	91.42	0.753064	
Sample_5CIECJF	12.088721999999999	11.583382	95.82000000000001	10.893806999999999	90.12	0.6895749999999999	
Sample_6CIECJF	13.282613	12.986623999999999	97.77000000000001	12.2464	92.2	0.740224	
